gene_id	SRR1944924.genes.results	SRR1944925.genes.results	SRR1944926.genes.results	SRR1944927.genes.results	SRR1944928.genes.results	SRR1944929.genes.results
Q0020	0.0	0.0	0.0	0.0	0.0	0.0
Q0045	0.34	0.06	0.46	0.23	0.07	0.4
Q0050	0.0	0.08	0.15	0.08	0.0	0.37
Q0055	0.04	0.0	0.0	0.12	0.04	0.05
Q0060	0.0	0.0	0.0	0.0	0.0	0.0
Q0065	0.06	0.0	0.0	0.0	0.0	0.22
Q0070	0.0	0.0	0.14	0.14	0.06	0.05
Q0075	0.1	0.0	0.22	0.1	0.2	0.54
Q0080	0.0	0.0	0.0	0.0	0.0	0.0
Q0085	0.0	0.0	0.0	0.13	0.14	0.0
Q0105	0.0	0.0	0.0	0.0	0.18	0.0
Q0110	0.0	0.0	0.0	0.17	0.0	0.0
Q0115	0.0	0.0	0.0	0.0	0.0	0.0
Q0120	0.0	0.0	0.24	0.06	0.0	0.0
Q0130	1.35	0.87	0.32	0.0	1.33	0.72
Q0140	0.0	0.0	0.0	0.0	0.0	0.15
Q0158	0.0	0.0	0.0	0.0	0.0	0.0
Q0160	0.3	0.0	0.64	1.03	1.64	1.87
Q0250	0.0	0.0	0.0	0.14	0.0	0.0
Q0255	0.0	0.0	0.0	0.0	0.0	0.0
Q0275	0.0	0.0	0.0	0.0	0.13	0.0
Q0285	0.0	0.0	0.0	0.0	0.0	0.0
YAL001C	16.75	14.77	15.64	19.41	20.91	17.21
YAL002W	14.58	13.95	14.27	19.01	14.79	12.36
YAL003W	2940.47	3211.13	2540.55	2549.64	2459.55	2481.32
YAL005C	458.3	618.8	716.07	830.31	617.22	640.12
YAL007C	189.07	186.34	180.74	178.61	194.35	191.94
YAL008W	39.15	40.46	32.38	42.59	50.46	48.79
YAL009W	38.66	31.9	35.91	42.54	48.01	37.8
YAL010C	16.6	14.09	15.98	18.77	19.83	19.87
YAL011W	13.18	14.24	15.73	13.71	16.98	16.08
YAL012W	455.61	518.35	484.4	593.52	486.93	489.59
YAL013W	31.19	37.65	30.97	41.97	41.55	35.97
YAL014C	55.93	62.62	56.38	80.25	81.52	64.69
YAL015C	22.09	23.17	21.1	25.59	27.46	25.65
YAL016W	101.23	104.03	95.3	127.49	117.44	103.8
YAL017W	15.81	14.28	16.34	20.59	19.68	15.44
YAL018C	0.22	0.42	0.08	0.43	0.22	0.3
YAL019W	26.12	22.77	24.45	30.09	30.98	29.0
YAL020C	37.84	40.72	34.82	38.14	38.86	33.03
YAL021C	29.19	26.08	32.71	41.49	33.77	25.44
YAL022C	59.94	58.33	56.97	67.07	69.71	57.02
YAL023C	200.38	203.52	195.87	220.71	193.52	148.43
YAL024C	6.25	5.57	7.9	7.72	7.05	6.19
YAL025C	70.65	72.22	88.21	77.89	108.42	105.01
YAL026C	20.67	17.73	21.73	25.14	24.01	20.04
YAL027W	19.46	15.76	19.56	22.51	25.98	26.38
YAL028W	7.52	6.09	6.42	7.24	7.38	5.26
YAL029C	24.84	22.75	31.65	33.37	30.63	26.18
YAL030W	62.23	62.81	67.46	95.09	82.58	94.07
YAL031C	19.95	18.3	18.24	26.33	23.05	17.11
YAL032C	17.27	16.37	18.18	19.36	19.38	19.03
YAL033W	65.56	71.1	64.74	71.69	79.7	80.42
YAL034C	10.28	11.78	10.29	15.76	13.7	11.05
YAL034W-A	15.49	14.14	14.81	14.7	16.32	19.75
YAL035W	121.39	132.97	144.7	148.45	151.31	183.26
YAL036C	161.32	165.67	159.69	219.19	214.25	193.42
YAL037C-A	239.4	160.05	215.25	295.95	226.91	268.96
YAL037W	6.97	6.42	9.38	7.94	10.66	10.68
YAL038W	4348.42	4777.59	4434.0	5190.0	3953.93	4110.67
YAL039C	41.37	41.82	36.95	49.0	45.73	42.61
YAL040C	25.15	23.93	22.23	30.38	27.09	19.74
YAL041W	28.74	27.35	28.08	39.06	38.23	30.35
YAL042W	220.31	219.6	213.55	259.32	260.72	235.58
YAL043C	37.8	40.35	37.08	60.04	46.77	35.89
YAL044C	329.69	260.72	257.8	355.48	367.66	354.17
YAL044W-A	83.49	76.69	83.93	75.28	72.66	82.33
YAL046C	63.21	54.9	77.61	77.58	82.2	89.5
YAL047C	9.29	7.18	9.16	9.03	12.38	10.87
YAL048C	14.63	12.67	14.2	17.57	16.14	10.83
YAL049C	83.5	80.6	87.05	88.21	97.71	91.09
YAL051W	15.92	14.0	16.3	19.81	20.43	16.36
YAL053W	50.33	48.25	45.64	63.74	56.7	40.83
YAL054C	8.27	6.95	8.1	9.81	9.91	9.01
YAL055W	18.73	13.61	17.7	15.52	20.52	18.24
YAL056W	28.93	26.43	23.44	34.91	33.75	24.34
YAL058W	32.69	33.27	33.87	36.38	34.86	34.42
YAL059W	65.86	70.86	76.96	70.21	75.25	80.05
YAL060W	100.16	104.23	87.31	107.78	101.54	85.68
YAL061W	22.62	24.25	20.2	28.44	21.79	23.04
YAL062W	17.5	20.26	20.06	20.77	14.48	16.49
YAL063C	3.71	4.39	4.8	5.29	5.09	4.2
YAL063C-A	3.25	4.16	2.56	3.51	5.68	3.09
YAL064C-A	3.57	1.6	2.39	5.29	3.93	2.64
YAL064W	1.11	1.41	1.56	0.36	2.17	0.99
YAL064W-B	2.97	2.68	3.33	3.47	6.53	1.67
YAL065C	7.52	5.12	5.47	7.74	4.94	3.54
YAL067C	1.89	1.69	1.77	1.54	1.08	1.63
YAL067W-A	0.46	0.44	0.65	0.89	0.0	0.0
YAL068C	0.0	0.0	0.0	0.0	0.0	0.0
YAR002C-A	312.14	334.03	334.31	312.88	337.15	345.94
YAR002W	67.49	59.88	68.72	65.27	74.32	62.23
YAR003W	41.25	41.65	38.0	49.7	47.16	42.8
YAR007C	66.61	61.41	64.69	68.14	76.64	64.99
YAR008W	35.01	30.57	39.1	34.16	41.3	42.32
YAR009C	2.07	1.28	3.49	2.66	3.24	3.14
YAR010C	0.08	0.0	0.17	0.32	0.16	0.0
YAR014C	44.78	45.77	42.0	50.81	50.75	37.39
YAR015W	240.08	209.82	172.61	168.54	168.04	141.48
YAR018C	23.26	19.13	23.06	24.86	27.81	19.92
YAR019C	9.6	9.41	8.23	13.12	10.63	9.01
YAR020C	12.2	6.43	4.74	14.23	11.39	7.5
YAR023C	11.3	7.41	10.93	14.45	10.9	8.27
YAR027W	74.94	67.58	69.14	70.66	78.71	66.51
YAR028W	39.35	34.21	41.83	50.4	46.89	43.06
YAR029W	16.19	18.63	18.64	18.44	23.64	18.81
YAR031W	17.67	18.13	21.69	18.19	18.42	18.74
YAR033W	34.12	29.28	26.89	32.74	38.84	34.48
YAR035C-A	2.37	2.28	5.03	1.15	4.66	2.54
YAR035W	6.47	7.32	5.39	9.46	9.36	6.42
YAR042W	18.25	18.29	21.12	21.27	19.58	14.62
YAR050W	1.62	1.42	1.87	2.71	1.84	1.17
YAR061W	4.51	3.2	3.59	3.74	3.09	1.86
YAR064W	1.98	6.53	6.58	5.46	4.14	2.6
YAR066W	7.1	0.0	8.17	7.84	3.44	2.76
YAR068W	31.86	19.38	34.95	28.4	20.5	25.03
YAR071W	66.25	65.04	66.84	27.32	23.53	11.55
YBL001C	255.25	251.12	225.42	267.95	281.66	295.03
YBL002W	1111.2	1176.72	1193.61	1084.19	1076.79	1074.98
YBL003C	1670.11	1431.13	1716.45	1545.03	1730.66	1762.33
YBL004W	16.58	15.8	22.09	20.92	19.05	17.35
YBL005W	27.99	24.2	30.52	37.3	32.71	31.28
YBL005W-A	22.67	21.53	24.95	33.42	34.78	24.0
YBL005W-B	6.72	5.51	8.75	8.61	9.39	7.39
YBL006C	96.78	77.66	84.16	80.46	90.42	80.95
YBL007C	55.53	54.33	54.92	69.39	56.76	40.92
YBL008W	17.32	14.42	16.91	20.81	23.24	17.97
YBL008W-A	1.78	2.09	2.77	2.58	3.42	2.38
YBL009W	32.78	35.27	38.26	38.67	37.88	32.4
YBL010C	25.7	22.06	25.22	25.73	31.15	24.69
YBL011W	42.66	48.16	43.7	50.73	45.23	35.28
YBL013W	6.01	5.33	4.12	6.8	4.41	2.11
YBL014C	17.9	14.68	17.29	24.68	23.28	17.11
YBL015W	26.0	26.17	21.63	23.53	23.92	17.46
YBL016W	61.88	54.44	52.52	63.8	63.28	58.23
YBL017C	24.13	25.91	26.4	28.3	26.46	21.17
YBL018C	95.19	79.84	94.39	106.65	120.26	101.24
YBL019W	14.57	14.9	12.16	12.47	17.38	13.54
YBL020W	37.11	38.11	34.82	54.05	45.11	34.31
YBL021C	35.75	34.27	34.62	42.6	44.74	46.61
YBL022C	48.38	45.73	51.88	77.25	77.35	63.74
YBL023C	25.82	26.91	23.09	27.85	25.98	21.06
YBL024W	84.73	84.92	99.43	97.04	87.54	99.47
YBL025W	32.1	32.41	36.45	42.31	45.15	43.05
YBL026W	143.53	94.18	151.29	110.04	120.54	167.18
YBL027W	2520.79	2697.74	2909.74	2396.57	2419.2	2866.57
YBL028C	129.59	104.05	144.62	103.9	141.19	189.09
YBL029C-A	46.12	48.1	37.03	37.65	39.5	32.95
YBL029W	13.39	13.57	12.17	11.62	16.91	12.68
YBL030C	235.66	311.25	231.58	377.73	308.4	286.19
YBL031W	23.48	14.56	19.82	24.16	22.33	22.61
YBL032W	132.14	159.61	118.36	125.49	120.34	112.2
YBL033C	43.72	44.31	40.33	47.86	51.23	42.31
YBL034C	6.33	5.33	8.58	6.46	7.68	7.29
YBL035C	25.9	28.42	26.9	35.84	32.55	27.13
YBL036C	121.72	122.02	136.39	146.97	162.2	153.1
YBL037W	13.75	14.84	16.57	22.27	15.63	15.37
YBL038W	53.52	43.94	56.21	53.52	65.87	62.18
YBL039C	198.2	191.2	191.46	190.64	190.09	167.72
YBL039W-B	35.45	21.38	41.63	33.34	35.38	24.15
YBL040C	208.47	176.92	205.7	231.73	239.0	220.27
YBL041W	253.81	213.92	250.64	252.74	287.6	259.02
YBL042C	69.45	68.25	63.92	64.36	61.0	54.68
YBL043W	0.56	0.67	1.08	1.62	1.78	0.97
YBL044W	1.72	2.2	2.03	1.12	1.69	1.69
YBL045C	91.78	90.4	86.28	119.39	127.64	101.57
YBL046W	26.87	24.66	29.62	27.23	33.94	31.27
YBL047C	32.71	30.82	37.86	42.61	38.73	32.0
YBL048W	10.14	4.86	6.45	7.89	10.3	10.12
YBL049W	18.63	16.14	17.13	23.56	23.06	16.92
YBL050W	106.13	112.21	101.74	108.05	119.2	111.02
YBL051C	24.35	19.97	32.51	33.77	31.84	31.34
YBL052C	20.34	16.66	24.11	18.29	27.13	25.2
YBL054W	31.96	28.13	34.1	40.48	40.84	36.57
YBL055C	43.66	39.55	48.7	46.37	41.62	43.29
YBL056W	157.95	152.45	152.81	186.53	182.01	160.41
YBL057C	106.29	91.56	113.85	118.78	125.93	117.25
YBL058W	131.25	130.06	136.04	197.88	190.63	168.96
YBL059C-A	48.36	36.84	57.95	47.0	67.0	54.29
YBL059W	15.47	10.95	22.0	21.48	20.26	21.96
YBL060W	21.1	16.6	18.82	21.07	28.64	23.05
YBL061C	37.72	30.48	41.98	38.68	42.15	39.2
YBL063W	6.66	5.07	8.49	8.21	8.75	8.5
YBL064C	75.08	78.02	74.38	103.61	100.27	96.13
YBL066C	5.53	5.06	5.27	8.62	6.76	4.12
YBL067C	28.28	30.45	30.09	30.78	34.25	25.92
YBL068W	99.73	89.17	106.37	119.73	118.51	103.37
YBL069W	35.51	38.54	33.35	43.97	36.77	33.8
YBL071C	88.53	86.85	87.29	121.72	110.22	108.41
YBL071C-B	4.96	0.95	7.72	6.75	3.9	12.74
YBL071W-A	144.3	154.42	129.79	195.54	189.04	174.73
YBL072C	4259.45	4410.37	4784.49	3857.3	3834.05	4185.13
YBL074C	15.18	13.19	15.88	22.62	19.49	13.42
YBL075C	19.88	21.99	20.23	32.53	28.23	21.83
YBL076C	231.72	241.85	251.3	308.32	259.31	234.22
YBL078C	15.86	14.05	17.34	25.01	29.09	29.44
YBL079W	21.84	20.96	29.29	32.59	29.02	29.17
YBL080C	12.47	12.21	11.65	11.61	14.09	13.84
YBL081W	20.71	20.23	24.03	34.94	27.06	20.11
YBL082C	63.1	66.67	55.56	81.97	71.87	65.26
YBL084C	17.47	13.09	12.11	19.81	21.75	15.88
YBL085W	31.57	24.98	28.64	32.05	34.75	23.8
YBL086C	16.55	12.97	18.37	20.9	27.35	22.25
YBL087C	2689.99	2561.47	2395.87	2361.04	2494.33	2333.03
YBL088C	4.41	4.49	6.19	5.21	4.7	4.2
YBL089W	26.3	23.03	25.14	36.63	31.46	28.3
YBL090W	41.08	40.34	47.17	43.82	46.06	50.68
YBL091C	132.12	145.1	150.46	132.07	130.2	132.3
YBL091C-A	27.55	29.72	31.65	27.76	26.67	35.32
YBL092W	3589.56	3292.41	3923.49	3535.88	3342.85	3876.02
YBL093C	77.28	59.95	78.45	77.0	79.74	74.86
YBL095W	23.99	28.2	24.45	24.22	23.82	29.27
YBL097W	7.92	6.58	12.85	8.3	10.32	9.93
YBL098W	26.4	25.46	23.87	33.96	35.09	30.25
YBL099W	117.28	141.7	133.42	154.41	140.51	137.41
YBL100W-A	0.0	0.0	0.0	0.0	0.0	0.0
YBL100W-B	1.66	1.16	1.88	1.52	2.16	1.63
