gene_id	SRR1944924.genes.results	SRR1944925.genes.results	SRR1944926.genes.results	SRR1944927.genes.results	SRR1944928.genes.results	SRR1944929.genes.results
Q0020	0.0	0.0	0.0	0.0	0.0	0.0
Q0045	0.41	0.08	0.55	0.26	0.08	0.5
Q0050	0.0	0.1	0.18	0.1	0.0	0.46
Q0055	0.05	0.0	0.0	0.14	0.05	0.06
Q0060	0.0	0.0	0.0	0.0	0.0	0.0
Q0065	0.08	0.0	0.0	0.0	0.0	0.27
Q0070	0.0	0.0	0.16	0.16	0.07	0.06
Q0075	0.12	0.0	0.26	0.11	0.23	0.67
Q0080	0.0	0.0	0.0	0.0	0.0	0.0
Q0085	0.0	0.0	0.0	0.15	0.16	0.0
Q0105	0.0	0.0	0.0	0.0	0.22	0.0
Q0110	0.0	0.0	0.0	0.19	0.0	0.0
Q0115	0.0	0.0	0.0	0.0	0.0	0.0
Q0120	0.0	0.0	0.29	0.06	0.0	0.0
Q0130	1.64	1.05	0.38	0.0	1.56	0.89
Q0140	0.0	0.0	0.0	0.0	0.0	0.18
Q0158	0.0	0.0	0.0	0.0	0.0	0.0
Q0160	0.37	0.0	0.77	1.17	1.93	2.31
Q0250	0.0	0.0	0.0	0.16	0.0	0.0
Q0255	0.0	0.0	0.0	0.0	0.0	0.0
Q0275	0.0	0.0	0.0	0.0	0.15	0.0
Q0285	0.0	0.0	0.0	0.0	0.0	0.0
YAL001C	20.27	17.88	18.82	21.96	24.54	21.26
YAL002W	17.64	16.88	17.16	21.51	17.36	15.27
YAL003W	3558.73	3885.97	3056.3	2885.02	2886.84	3064.86
YAL005C	554.67	748.84	861.44	939.52	724.45	790.66
YAL007C	228.83	225.5	217.44	202.11	228.12	237.08
YAL008W	47.39	48.97	38.95	48.2	59.22	60.27
YAL009W	46.78	38.6	43.2	48.13	56.35	46.69
YAL010C	20.09	17.06	19.22	21.24	23.28	24.54
YAL011W	15.95	17.24	18.93	15.51	19.93	19.86
YAL012W	551.41	627.29	582.73	671.59	571.52	604.73
YAL013W	37.74	45.56	37.25	47.49	48.76	44.43
YAL014C	67.69	75.78	67.83	90.81	95.68	79.91
YAL015C	26.74	28.04	25.38	28.96	32.23	31.69
YAL016W	122.52	125.89	114.64	144.26	137.85	128.21
YAL017W	19.13	17.29	19.66	23.3	23.1	19.07
YAL018C	0.27	0.51	0.09	0.49	0.25	0.36
YAL019W	31.61	27.55	29.41	34.05	36.36	35.82
YAL020C	45.79	49.27	41.89	43.15	45.61	40.8
YAL021C	35.33	31.56	39.35	46.95	39.64	31.42
YAL022C	72.54	70.59	68.54	75.9	81.82	70.43
YAL023C	242.52	246.29	235.63	249.74	227.13	183.33
YAL024C	7.56	6.75	9.5	8.73	8.28	7.65
YAL025C	85.51	87.4	106.12	88.14	127.26	129.71
YAL026C	25.01	21.46	26.14	28.44	28.18	24.76
YAL027W	23.55	19.07	23.54	25.47	30.49	32.58
YAL028W	9.1	7.37	7.73	8.19	8.67	6.5
YAL029C	30.06	27.53	38.07	37.76	35.95	32.34
YAL030W	75.31	76.01	81.16	107.59	96.93	116.2
YAL031C	24.14	22.15	21.94	29.79	27.06	21.13
YAL032C	20.9	19.81	21.86	21.91	22.75	23.5
YAL033W	79.35	86.04	77.88	81.12	93.54	99.33
YAL034C	12.45	14.26	12.38	17.83	16.08	13.64
YAL034W-A	18.75	17.11	17.81	16.63	19.15	24.4
YAL035W	146.91	160.92	174.08	167.98	177.6	226.35
YAL036C	195.24	200.48	192.11	248.02	251.47	238.91
YAL037C-A	289.73	193.68	258.94	334.88	266.33	332.21
