gene_id	SRR1944912.genes.results	SRR1944913.genes.results	SRR1944914.genes.results	SRR1944915.genes.results	SRR1944916.genes.results	SRR1944917.genes.results
Q0020	0.0	0.0	0.0	0.0	0.0	0.0
Q0045	10.28	29.71	11.74	34.85	16.36	5.1
Q0050	22.88	32.55	18.35	18.9	4.1	13.49
Q0055	10.76	11.11	9.45	6.39	9.45	4.15
Q0060	0.0	4.05	0.0	1.24	0.0	0.0
Q0065	0.0	5.22	4.46	1.62	1.48	1.26
Q0070	2.08	7.37	0.0	0.0	1.62	0.0
Q0075	7.0	0.0	2.0	0.0	3.0	0.0
Q0080	4.0	8.0	2.0	12.0	5.0	1.0
Q0085	17.0	42.0	7.0	26.0	22.0	6.0
Q0105	19.0	31.31	3.9	30.67	10.69	4.32
Q0110	0.0	0.0	2.68	1.88	1.78	0.0
Q0115	0.0	1.89	0.0	0.0	4.68	1.68
Q0120	0.0	3.8	1.42	4.45	4.85	0.0
Q0130	45.0	72.0	20.0	67.0	20.0	17.0
Q0140	7.0	5.0	2.0	8.0	6.0	7.0
Q0158	0.0	0.0	0.0	0.0	0.0	0.0
Q0160	0.0	1.0	1.0	2.0	1.0	0.0
Q0250	22.0	38.92	4.0	67.0	29.0	11.0
Q0255	0.0	3.08	1.0	0.0	3.0	0.0
Q0275	13.0	37.0	5.0	43.0	18.0	13.0
Q0285	0.0	0.0	0.0	0.0	0.0	0.0
YAL001C	436.0	571.0	312.0	680.0	565.0	330.0
YAL002W	185.0	260.0	155.0	268.0	196.0	140.0
YAL003W	47734.0	56888.0	26455.0	54072.0	46414.0	24492.0
YAL005C	51675.6	64470.69	40789.11	86482.49	72886.07	39076.13
YAL007C	1710.0	2267.0	1226.0	2047.0	1985.0	1028.0
YAL008W	397.0	534.0	312.0	717.0	651.0	354.0
YAL009W	131.0	156.0	73.0	200.0	170.0	106.0
YAL010C	179.0	210.0	101.0	243.0	219.0	111.0
YAL011W	164.0	195.0	118.0	220.0	164.97	101.0
YAL012W	15902.0	18613.0	9517.0	17829.0	16803.0	9980.0
YAL013W	386.0	507.0	243.0	625.0	463.0	322.0
YAL014C	300.0	374.0	210.0	452.0	421.0	194.0
YAL015C	128.0	181.0	96.0	206.0	179.0	102.0
YAL016W	3406.0	4368.0	2214.0	5200.0	4442.0	2326.0
